Rank,Geographical Area,Dollar,Margin of Error
1,Maryland,78945,737
2,Alaska,76440,2230
3,New Jersey,76126,701
4,District of Columbia,75506,3416
5,Massachusetts,75297,771
6,Hawaii,74511,1776
7,Connecticut,73433,1059
8,New Hampshire,70936,1422
9,Virginia,68114,748
10,California,67739,356
11,Washington,67106,595
12,Utah,65977,955
13,Colorado,65685,636
14,Minnesota,65599,606
15,New York,62909,631
16,Delaware,61757,1492
17,Illinois,60960,389
18,North Dakota,60656,1528
19,Rhode Island,60596,1591
20,Wyoming,59882,2214
21,Vermont,57677,1672
22,Oregon,57532,855
23,Nebraska,56927,767
24,Pennsylvania,56907,360
25,Wisconsin,56811,549
26,Texas,56565,300
27,Iowa,56247,695
28,Nevada,55180,901
29,Kansas,54935,893
30,South Dakota,54467,1289
31,Georgia,53559,710
32,Arizona,53558,634
33,Maine,53079,1379
34,Michigan,52492,402
35,Ohio,52334,275
36,Indiana,52314,371
37,Idaho,51807,963
38,Missouri,51746,374
39,Florida,50860,241
40,North Carolina,50584,292
41,Montana,50027,1096
42,South Carolina,49501,601
43,Oklahoma,49176,625
44,Tennessee,48547,675
45,New Mexico,46748,826
46,Kentucky,46659,600
47,Alabama,46257,677
48,Louisiana,45146,776
49,Arkansas,44334,921
50,West Virginia,43385,1112
51,Mississippi,41754,556
,Puerto Rico,20078,354